LС_FILIAL;NC_FILIAL;LICENSE;NAME_FILIAL
MOS;0001;0000;АО ЮниКредит Банк, Москва                                                       
SPB;0002;0001;Петербургский Филиал АО ЮниКредит Банка, г.Санкт-Петербург                      
CHL;0016;0003;ЮниКредит Банк, Челябинск                                                       
RND;0015;0002;ЮниКредит Банк, Ростов-на-Дону                                                  
PRM;0009;0004;Пермский Филиал АО ЮниКредит Банка                                              
KRS;0023;0005;Краснодарский  Филиал АО ЮниКредит Банка                                        
VRN;0030;0006;Воронежский Филиал АО ЮниКредит Банка                                           
SAM;0033;0007;Самарский Филиал АО ЮниКредит Банка                                             
EKB;0040;0008;Екатеринбургский Филиал АО ЮниКредит Банка                                      
NNV;0045;0009;Нижегородский Филиал АО ЮниКредит Банка                                         
NVS;0050;0010;Новосибирский Филиал АО ЮниКредит Банка                                         
UFA;0066;0011;Башкирский Филиал АО ЮниКредит Банка                                            
VLG;0093;0012;Волгоградский Филиал АО ЮниКредит Банка                                         
STV;0013;0013;Ставропольский Филиал АО ЮниКредит Банкаа                                       
