OPER_TYPE;OPER_TYPE_DESC
11;для всех операций, отражаемых в разделе 1, кроме операций, отражаемых с кодами 12,13,14,21,22,23
12;покупка (продажа) ценных бумаг по первой части сделок на возвратной основе
13;покупка (продажа) ценных бумаг по второй части сделок на возвратной основе
14;списание (зачисление) маржи по сделкам на возвратной основе
21;для операций выбытия-приобретения ц.б.(долей,паев) по договору мены или взаимозачета, связанных с движением денеж.ср-в
22;для операций выбытия-приобретения ц.б.(долей,паев) по договору мены или взаимозачета без движения денеж.ср-в
23;для операций, связанн.с исполнением обязат-в по кредит.договору(кроме прощ-я долга),по кот.в Банке оформлен паспорт сделки,в отнош.фин.инструментов
24;для операций, связанн.с испол.обязат-в по контракту,по кот.в Банке оформлен паспорт сделки,в отнош.финансовых инструментов
30;для операций по договору уступки права требования в отношении финансовых инструментов
40;для оп.по покупке-продаже ц.б.,соверш.в рамках поставочных срочных контрактов(опционные, фьючерсные и форвардные контракты, свопы)
