CODE_PD;DESC_CODE_PD;BEG_DATE;END_DATE
01;;01.01.1998;
01_3;;01.01.1998;
01_4;;01.01.1998;
02;прощение долга кредитором (займодавцем);01.01.1998;
02_3;прощение долга кредитором (займодавцем);01.01.1998;
02_4;прощение долга кредитором (займодавцем);01.01.1998;
03;предоставление отступного взамен исполнения обязательств(а) по кредитному договору (передача имущества в счет погашения долга, выполнение работ, оказание услуг и т.п.);01.01.1998;
03_3;предоставление отступного взамен исполнения обязательств(а) по кредитному договору (передача имущества в счет погашения долга, выполнение работ, оказание услуг и т.п.);01.01.1998;
03_4;предоставление отступного взамен исполнения обязательств(а) по кредитному договору (передача имущества в счет погашения долга, выполнение работ, оказание услуг и т.п.);01.01.1998;
04;зачет встречных однородных требований, при котором обязательства по кредитному договору прекращаются полностью или снижается сумма обязательств;01.01.1998;
04_3;зачет встречных однородных требований, при котором обязательства по кредитному договору прекращаются полностью или снижается сумма обязательств;01.01.1998;
04_4;зачет встречных однородных требований, при котором обязательства по кредитному договору прекращаются полностью или снижается сумма обязательств;01.01.1998;
05;прекращение обязательств по кредитному договору или снижение суммы обязательств посредством передачи кредитору ценных бумаг в счет погашения долга по кредитному договору;01.01.1998;
05_3;прекращение обязательств по кредитному договору или снижение суммы обязательств посредством передачи кредитору ценных бумаг в счет погашения долга по кредитному договору;01.01.1998;
05_4;прекращение обязательств по кредитному договору или снижение суммы обязательств посредством передачи кредитору ценных бумаг в счет погашения долга по кредитному договору;01.01.1998;
06;прекращение обязательств по кредитному договору или снижение суммы обязательств новацией (заменой первоначального обязательства др. обязательством), за искл. новации,осуществляемой посредством передач;01.01.1998;
06_3;прекращение обязательств по кредитному договору или снижение суммы обязательств новацией (заменой первоначального обязательства др. обязательством), за искл. новации,осуществляемой посредством передач;01.01.1998;
06_4;прекращение обязательств по кредитному договору или снижение суммы обязательств новацией (заменой первоначального обязательства др. обязательством), за искл. новации,осуществляемой посредством передач;01.01.1998;
07;снижение обязательств по кредитному договору в случаях, установленных условиями кредитного договора;01.01.1998;
07_3;снижение обязательств по кредитному договору в случаях, установленных условиями кредитного договора;01.01.1998;
07_4;снижение обязательств по кредитному договору в случаях, установленных условиями кредитного договора;01.01.1998;
08;прекращение обязательтв по кредитному договору на основании судебных решений (определений);01.01.1998;
08_3;прекращение обязательтв по кредитному договору на основании судебных решений (определений);01.01.1998;
08_4;прекращение обязательтв по кредитному договору на основании судебных решений (определений);01.01.1998;
09;уступка кредитором права требования по обязательствам по кредитному договору к заемщику третьему лицу, за исключением уступки права требования к резиденту одним нерезидентом другому нерезиденту;01.01.1998;
09_3;уступка кредитором права требования по обязательствам по кредитному договору к заемщику третьему лицу, за исключением уступки права требования к резиденту одним нерезидентом другому нерезиденту;01.01.1998;
09_4;уступка кредитором права требования по обязательствам по кредитному договору к заемщику третьему лицу, за исключением уступки права требования к резиденту одним нерезидентом другому нерезиденту;01.01.1998;
10;погашение всех обязательств по кредитному договору или части обязательств третьим лицом;01.01.1998;
10_3;погашение всех обязательств по кредитному договору или части обязательств третьим лицом;01.01.1998;
10_4;погашение всех обязательств по кредитному договору или части обязательств третьим лицом;01.01.1998;
11;перевод всего долга или части долга на третье лицо,за исключением перевода долга одним нерезидентом-заемщиком другому нерезиденту;01.01.1998;
11_4;перевод всего долга или части долга на третье лицо,за исключением перевода долга одним нерезидентом-заемщиком другому нерезиденту;01.01.1998;
12;иные основания прекращения обязательств по кредитному договору;01.01.1998;
12_3;иные основания прекращения обязательств по кредитному договору;01.01.1998;
12_4;иные основания прекращения обязательств по кредитному договору;01.01.1998;
13;увеличение задолженности по кредитному договору в случаях, установленных условиями кредитного договора;01.01.1998;
13_3;увеличение задолженности по кредитному договору в случаях, установленных условиями кредитного договора;01.01.1998;
13_4;увеличение задолженности по кредитному договору в случаях, установленных условиями кредитного договора;01.01.1998;
14;;01.01.1998;
15;;01.01.1998;
15_3;;01.01.1998;
15_4;;01.01.1998;
16;;01.01.1998;
16_3;;01.01.1998;
