CODE_VO;CODE_405;REPLACE405;CODE_VO_DESC;CODE_405_DESC;SECTION;OPERATION_CODE;DIRECTION_PAY;ISSUER_NEREZ;ISSUER_REZ;PROPERTY_FLG;INCLUDE_405;INCLUDE_406
99090;?????;;Расчеты по операциям, не указанным в группах 01 – 80 настоящего Перечня, а также за исключением платежей по кодам 99010, 99020;НеизвестноЧего;1;;1;FALSE;FALSE;FALSE;FALSE;FALSE
99010;?????;;Возврат резиденту ошибочно списанных (зачисленных) денежных средств;НеизвестноЧего;1;;1;FALSE;FALSE;FALSE;FALSE;FALSE
70900;?????;;Расчеты нерезидента в пользу резидента;НеизвестноЧего;1;INR;;FALSE;FALSE;FALSE;FALSE;FALSE
70800;?????;;Расчеты резидента в пользу нерезидента;НеизвестноЧего;1;OUTR;;FALSE;FALSE;FALSE;FALSE;FALSE
70205;?????;;Прочие расчеты резидента в пользу нерезидента по неторговым операциям;НеизвестноЧего;1;OUTR;;FALSE;FALSE;FALSE;FALSE;FALSE
70200;?????;;Прочие расчеты нерезидента в пользу резидента по неторговым операциям;НеизвестноЧего;1;INR;;FALSE;FALSE;FALSE;FALSE;FALSE
70125;?????;;Расчеты резидента в пользу нерезидента;НеизвестноЧего;1;OUTR;;FALSE;FALSE;FALSE;FALSE;FALSE
70120;?????;;Расчеты нерезидента в пользу резидента;НеизвестноЧего;1;INR;;FALSE;FALSE;FALSE;FALSE;FALSE
70105;?????;;Расчеты, связанные с оказанием резидентом нерезиденту благотворительной помощи, сбором пожертвований, выплатой (получением) грантов и иных платежей на безвозмездной основе;НеизвестноЧего;1;OUTR;;FALSE;FALSE;FALSE;FALSE;FALSE
70100;?????;;Расчеты, связанные с оказанием нерезидентом резиденту благотворительной помощи, сбором пожертвований, выплатой (получением) грантов и иных платежей на безвозмездной основе;НеизвестноЧего;1;INR;;FALSE;FALSE;FALSE;FALSE;FALSE
70095;?????;;Расчеты, связанные с оказанием резидентом нерезиденту безвозмездной финансовой помощи, за исключением расчетов по коду 70105;НеизвестноЧего;1;OUTR;;FALSE;FALSE;FALSE;FALSE;FALSE
70090;?????;;Расчеты, связанные с оказанием нерезидентом резиденту безвозмездной финансовой помощи, за исключением расчетов по коду 70100;НеизвестноЧего;1;INR;;FALSE;FALSE;FALSE;FALSE;FALSE
70070;?????;;(УСТАРЕЛ c 01.10.12) Прочие платежи нерезидентов в пользу резидентов по неторговым операциям;Безвозмездная помощь материнской компании;1;INR;1;FALSE;FALSE;FALSE;FALSE;FALSE
70030;?????;;Расчеты, связанные с выплатой нерезидентом резиденту пенсий, пособий и других социальных выплат, за исключением расчетов по коду 70120;НеизвестноЧего;1;;1;FALSE;FALSE;FALSE;FALSE;FALSE
58900;?????;;Расчеты нерезидента, связанные с возвратом резиденту излишне перечисленных денежных средств по договору о брокерском обслуживании;;1;;;FALSE;FALSE;FALSE;FALSE;FALSE
58800;?????;;Расчеты резидента, связанные с возвратом нерезиденту излишне перечисленных денежных средств по договору о брокерском обслуживании;;1;;;FALSE;FALSE;FALSE;FALSE;FALSE
58700;?????;;(УСТАРЕЛ с 01.09.2013) Расчеты резидента-брокера;;1;;;FALSE;FALSE;FALSE;FALSE;FALSE
58030;?????;;Расчеты между резидентами в иностранной валюте по договору о брокерском обслуживании, включая выплаты вознаграждения брокера;;1;;;FALSE;FALSE;FALSE;FALSE;FALSE
58025;?????;;Расчеты брокера-резидента в пользу нерезидента по договору о брокерском обслуживании, за исключением расчетов по коду 58800;;1;OUTR;2;FALSE;FALSE;FALSE;FALSE;FALSE
58020;?????;;Расчеты нерезидента в пользу брокера-резидента по договору о брокерском обслуживании, включая выплаты вознаграждения брокера-резидента;;1;;;FALSE;FALSE;FALSE;FALSE;FALSE
58015;?????;;Расчеты брокера-нерезидента в пользу резидента по договору о брокерском обслуживании, за исключением расчетов по коду 58900;;1;INR;1;FALSE;FALSE;FALSE;FALSE;FALSE
58010;?????;;Расчеты резидента в пользу брокера-нерезидента по договору о брокерском обслуживании, включая выплаты вознаграждения брокера-нерезидента;;1;;;FALSE;FALSE;FALSE;FALSE;FALSE
57900;?????;;Расчеты нерезидента;;1;;;FALSE;FALSE;FALSE;FALSE;FALSE
57800;?????;;Расчеты резидента, связанные с возвратом нерезиденту излишне перечисленных денежных средств по договорам доверительного управления имуществом;;1;;;FALSE;FALSE;FALSE;FALSE;FALSE
57035;?????;;Расчеты нерезидента - доверительного управляющего в пользу резидента - учредителя управления;;1;INR;1;FALSE;FALSE;FALSE;FALSE;FALSE
57030;?????;;Расчеты резидента - учредителя управления в пользу нерезидента - доверительного управляющего;;1;OUTR;2;FALSE;FALSE;FALSE;FALSE;FALSE
57025;?????;;Расчеты резидента - доверительного управляющего, в пользу нерезидента - учредителя управления в иностранной валюте и валюте Российской Федерации;;1;;;FALSE;FALSE;FALSE;FALSE;FALSE
57020;?????;;Расчеты нерезидента - учредителя управления в пользу резидента - доверительного управляющего,  в иностранной валюте и валюте Российской Федерации;;1;;;FALSE;FALSE;FALSE;FALSE;FALSE
57015;?????;;Расчеты резидента - доверительного управляющего,  в пользу резидента - учредителя управления в иностранной валюте;;1;;;FALSE;FALSE;FALSE;FALSE;FALSE
57010;?????;;Расчеты резидента - учредителя управления в пользу резидента - доверительного управляющего, в иностранной валюте;;1;;;FALSE;FALSE;FALSE;FALSE;FALSE
56900;?????;;Расчеты нерезидента;;1;;;FALSE;FALSE;FALSE;FALSE;FALSE
56800;?????;;Расчеты резидента;;1;;;FALSE;FALSE;FALSE;FALSE;FALSE
56060;;;Расчеты переводы резидента в пользу нерезидента по операциям со срочными и производными финансовыми инструментами (премии, маржевые и гарантийные взносы и иные денежные средства, перечисляемые в соотв;;3;;;FALSE;FALSE;FALSE;FALSE;TRUE
56010;;;Расчеты и переводы нерезидента в пользу резидента по операциям со срочными и производными финансовыми инструментами (премии,маржевые и гарантийные взносы и иные денежные средства, перечисляемые в соот;;3;;;FALSE;FALSE;FALSE;FALSE;TRUE
55900;?????;;Расчеты нерезидента в пользу резидента;;1;;;FALSE;FALSE;FALSE;FALSE;FALSE
55800;?????;;Расчеты резидента в пользу нерезидента;;1;;;FALSE;FALSE;FALSE;FALSE;FALSE
55350;?????;;Расчеты нерезидента в пользу резидента при исполнении нерезидентом обязательств по векселям и иным неэмиссионным ценным бумагам;;1;;;FALSE;FALSE;FALSE;FALSE;FALSE
55330;?????;;Расчеты нерезидента в пользу резидента при выплате доходов по паям инвестиционных фондов;;1;;;FALSE;FALSE;FALSE;FALSE;FALSE
55310;?????;;Расчеты нерезидента в пользу резидента при исполнении нерезидентом обязательств по облигациям и иным эмиссионным ценным бумагам;;1;;;FALSE;FALSE;FALSE;FALSE;FALSE
55250;?????;;Расчеты резидента в пользу нерезидента при исполнении резидентом обязательств по векселями и иным неэмиссионным ценным бумагам;;1;;;FALSE;FALSE;FALSE;FALSE;FALSE
55230;?????;;Расчеты резидента в пользу нерезидента при выплате доходов по паям инвестиционных фондов;;1;;;FALSE;FALSE;FALSE;FALSE;FALSE
